"d_local","Air temperature (°C)","Wind speed (m.s-1)","Atmospheric pressure (Pa)","Shortwave radiation (W.m-2)","Longwave radiation (W.m-2)","Specific humidity (kg.kg-1)","Relative humidity (%)","Precipitation (mm)","measure_height_m","rheight_m","2m Wind speed (m.s-1)","Snow depth (cm)","Field snow depth (cm)","Snowfall probability","Snowfall (liquid equivalent, mm)"
2019-09-05,12.6583333333333,2.12962962962963,100874.166666667,221.237917770481,312.746049426656,0.00700128426944695,79.9166666666667,0,10,0.12,1.35467508048572,0,NA,3.0567288633903e-07,0
2019-09-06,14.0125,2.28009259259259,100715.416666667,185.970551481702,335.352874246401,0.00750941579369004,77.625,0,10,0.12,1.45038581986786,0,NA,5.56671820049213e-08,0
2019-09-07,14.3,2.28009259259259,100005,192.412999647178,337.022038892213,0.00800629811342115,79.875,2.1,10,0.12,1.45038581986786,0,NA,3.0311155304809e-08,0
2019-09-08,12.7708333333333,1.64351851851852,100544.583333333,161.899866028274,341.042654462418,0.00748697624097677,82.5416666666667,0,10,0.12,1.04545576863572,0,NA,2.05951484928087e-07,0
2019-09-09,11.6416666666667,1.30787037037037,101607.5,178.591416008988,319.757759307423,0.00667536742987569,81.25,0,10,0.12,0.831947196167858,0,NA,1.13684788679305e-06,0
2019-09-10,11.4375,1.48148148148148,101540,141.826439199917,329.772747182298,0.00730567051470154,86.5,0.9,10,0.12,0.942382664685716,0,NA,9.45193711075539e-07,0
2019-09-11,17.65,3.62268518518519,100655,109.4344851101,380.645717828938,0.0111340536922266,87.9166666666667,0.9,10,0.12,2.30442010973929,0,NA,1.30584576914365e-10,0
2019-09-12,12.475,2.28009259259259,101460,211.075949658242,310.595629280774,0.006606777744648,76.875,0,10,0.12,1.45038581986786,0,NA,5.20487210641432e-07,0
2019-09-13,10.9083333333333,2.60416666666667,102030.416666667,241.060835202716,285.92367009997,0.00535098739002463,71.25,0,10,0.12,1.65653202776786,0,NA,7.86366430420504e-06,0
2019-09-14,15.5291666666667,5.38194444444444,100853.333333333,77.2004608569682,372.720231682216,0.00866019422963319,78.375,3.7,10,0.12,3.42349952405358,0,NA,6.13120209356518e-09,0
2019-09-15,14.375,3.28703703703704,100776.25,122.313935584615,348.298038014106,0.0076299079527703,75.5833333333333,0,10,0.12,2.09091153727143,0,NA,4.01256506470199e-08,0
2019-09-16,12.9291666666667,2.46527777777778,100830.833333333,141.978923180165,325.819141871596,0.00673669306643392,75.5416666666667,0,10,0.12,1.56818365295357,0,NA,3.09324388626526e-07,0
2019-09-17,9.77916666666667,1.5625,101261.25,155.805952674793,307.671545229716,0.00625870592234134,84.9166666666667,0,10,0.12,0.993919216660716,0,NA,1.12951594054393e-05,0
2019-09-18,8.375,0.856481481481481,101735.416666667,229.744345525742,277.724051073461,0.00501485869037605,78.7916666666667,0,10,0.12,0.544814978021429,0,NA,0.000141934915782934,0
2019-09-19,9.65416666666667,1.5162037037037,101626.25,216.369322115421,295.329473797541,0.00546348111789942,76.9166666666667,0,10,0.12,0.964469758389287,0,NA,2.76771698553363e-05,0
2019-09-20,15.3041666666667,2.62731481481481,101143.75,198.223728465913,336.150905518668,0.00773949901196334,74.2916666666667,0,10,0.12,1.67125675690357,0,NA,1.21598656114447e-08,0
2019-09-21,17.5333333333333,1.18055555555555,101181.25,205.336016973193,344.210412184398,0.00997989396687351,82.2916666666667,0,10,0.12,0.750961185921429,0,NA,2.55384720404964e-10,0
2019-09-22,20.2708333333333,4.14351851851852,100479.166666667,133.456157855591,372.543568270798,0.0110790913655825,76,0,10,0.12,2.63572651529286,0,NA,9.47963786761913e-12,0
2019-09-23,21.1,3.92361111111111,99477.9166666667,37.260549744877,400.096968610249,0.0136002243970871,87.2083333333333,9.8,10,0.12,2.49584158850358,0,NA,1.07387233029787e-12,0
